user,testType,position,trialNumber,correctAnswer,userAnswer,ansQualifier,value,reversal
Tysen,ILD,Front Right,2,1,2,0,1,0
Tysen,ILD,Front Right,3,2,2,1,1,1
Tysen,ILD,Front Right,4,2,2,1,1,1
Tysen,ILD,Front Right,5,1,1,1,0.5,1
Tysen,ILD,Front Right,6,2,2,1,0.5,1
Tysen,ILD,Front Right,7,1,2,0,0.25,2
Tysen,ILD,Front Right,8,2,2,1,0.5,3
Tysen,ILD,Front Right,9,2,2,1,0.5,3
Tysen,ILD,Front Right,10,2,2,1,0.25,3
Tysen,ILD,Front Right,11,2,2,1,0.25,3
Tysen,ILD,Front Right,12,1,1,1,0.125,3
Tysen,ILD,Front Right,13,2,2,1,0.125,3
Tysen,ILD,Front Right,14,2,2,1,0.0625,3
Tysen,ILD,Front Right,15,1,2,0,0.0625,4
Tysen,ILD,Front Right,16,1,2,0,0.125,4
Tysen,ILD,Front Right,17,1,2,0,0.25,4
Tysen,ILD,Front Right,18,2,2,1,0.5,5
Tysen,ILD,Right,1,1,1,1,1,0
Tysen,ILD,Right,2,2,2,1,1,0
Tysen,ILD,Right,3,1,1,1,0.5,0
Tysen,ILD,Right,4,2,2,1,0.5,0
Tysen,ILD,Right,5,1,2,0,0.25,1
Tysen,ILD,Right,6,2,2,1,0.5,2
Tysen,ILD,Right,7,2,2,1,0.5,2
Tysen,ILD,Right,8,2,2,1,0.25,2
Tysen,ILD,Right,9,1,1,1,0.25,2
Tysen,ILD,Right,10,1,1,1,0.125,2
Tysen,ILD,Right,11,2,1,0,0.125,3
Tysen,ILD,Right,12,2,1,0,0.25,3
Tysen,ILD,Right,13,2,1,0,0.5,3
Tysen,ILD,Right,14,1,2,0,1,3
Tysen,ILD,Right,15,1,1,1,1,4
Tysen,ILD,Right,16,2,1,0,1,5
Tysen,ILD,Back Right,1,1,1,1,1,1
Tysen,ILD,Back Right,2,2,2,1,1,1
Tysen,ILD,Back Right,3,1,1,1,0.5,1
